91753
35367	1254	21061
50356	74	48173
34802	658	49545
50352	1066	51318
57060	818	9693
59183	1085	10528
50396	1254	15574
32015	1085	13738
39806	1085	3087
30123	476	20457
56487	1085	1846
58183	1085	23447
58800	1085	987
52102	1066	49967
53209	74	40036
45558	309	34773
55105	1066	45811
34077	1066	44537
39081	1085	17361
36396	658	47373
39561	1066	42372
32230	538	18302
54537	1254	10657
55898	476	4446
34120	1066	57519
54802	1066	49741
32552	396	18383
49090	137	22463
50832	1085	17502
33362	1254	8286
54964	1254	16340
32950	1192	58238
41225	1254	12072
45719	1254	7660
36537	988	24237
30285	18	20490
50685	1254	14465
38646	1085	20070
50371	1085	8364
53156	169	5701
48978	945	25778
59195	858	58306
55469	1085	6319
34808	1066	43751
52230	1254	3954
55671	1066	57481
30170	739	21689
35366	1066	50612
31316	1192	49803
54980	1192	59135
56332	476	18222
29964	1066	48842
38614	1066	40535
47902	1066	45048
37164	1254	22826
45535	144	2637
34514	1085	19714
58152	1254	16292
57726	476	25518
52095	1066	36990
33264	309	36874
30110	1254	4109
41469	658	40107
34981	309	39324
32723	1085	8734
45275	179	29872
55954	1254	26501
56187	1085	23653
43875	1085	14446
59207	417	59971
50610	1091	38265
45413	1085	9808
48461	1192	34336
47708	476	4563
58816	74	39271
40326	1254	4255
50893	249	31011
54824	608	28916
58244	795	2846
53139	249	32628
50853	309	43230
34965	1085	26754
55183	1254	22194
50166	1085	13098
33354	476	10339
57167	1254	7546
44382	309	51458
54771	1120	24080
35827	1254	15524
40278	1254	11619
47903	1066	47172
32187	476	19869
58086	82	16241
57632	1085	18622
40999	1066	36769
52799	1066	32876
30999	1192	30716
33357	1066	32897
57172	20	54205
32083	1254	24636
49955	1085	1990
30132	1085	13913
46061	309	46412
56859	476	22742
38137	1066	43774
37777	858	58508
55832	1066	52302
50659	630	18592
41358	1085	6666
54146	1192	48302
46061	1085	13364
45715	1085	17638
40678	658	35936
50701	1254	2335
39680	1066	31504
36324	915	2701
55224	1066	41072
57726	1192	57654
58002	1254	2763
31219	1085	2481
